label,koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_impact
0,3.997514220,3.68600,3.2800e+01,2.98,2203.0,5563.95,6.10,5066.00,3.122,5.3240,0.0303
1,6.846192360,3.52900,2.4680e+02,1.67,1022.0,258.41,17.70,5839.00,4.327,1.0670,0.0770
1,43.131214700,3.19800,4.4780e+02,2.39,554.0,22.21,11.80,5839.00,4.327,1.0670,0.6700
1,25.934064060,4.61420,4.1450e+02,2.48,695.0,55.10,42.20,5952.00,4.287,1.2250,0.0140
1,12.992048530,6.01750,2.7060e+02,2.03,866.0,132.94,38.70,5765.00,4.236,1.2420,0.0910
0,11.116202110,4.21100,4.8439e+03,8.96,853.0,125.21,115.30,6122.00,4.471,0.9960,0.9370
0,55.663916700,23.54600,3.4144e+03,34.14,434.0,8.38,103.40,5587.00,4.528,0.8530,1.2980
1,8.187394430,3.04720,5.1760e+02,1.92,782.0,88.36,38.40,5251.00,4.494,0.8490,0.3770
1,3.341799486,2.92540,1.7820e+02,1.67,1356.0,798.41,48.80,5873.00,4.293,1.2350,0.4260
0,36.977088080,4.73700,1.2699e+03,38.60,602.0,31.08,59.20,5589.00,4.193,1.2390,1.2460
1,11.089566020,6.28770,1.4810e+02,3.51,1422.0,965.62,38.90,6353.00,3.698,2.8670,0.0200
0,7.244761260,2.31450,5.8000e+01,0.65,837.0,116.02,27.20,5370.00,4.494,0.8740,0.0400
1,4.176342760,2.33500,5.3150e+02,1.23,694.0,54.80,14.90,4362.00,4.722,0.5540,0.1420
1,3.179267286,1.02460,2.0090e+02,1.21,1101.0,347.01,41.00,5511.00,4.554,0.8570,0.1710
1,24.570902300,3.58700,7.6420e+02,2.82,505.0,15.33,26.30,5095.00,4.566,0.7800,0.9450
1,1.022678654,1.37120,1.2920e+02,1.14,1734.0,2138.47,21.60,5366.00,4.363,1.0200,0.0190
1,4.757961030,4.66000,1.2450e+02,1.70,1372.0,835.65,20.90,6021.00,4.093,1.4580,0.6210
0,13.554805340,2.28800,4.8300e+01,0.62,679.0,50.41,16.50,5370.00,4.494,0.8740,0.4970
0,0.848483947,1.44510,1.9074e+03,32.11,1908.0,3117.82,185.00,5941.00,4.504,0.9360,1.2640
1,53.529270200,5.66800,1.0861e+03,2.28,348.0,3.48,34.50,4736.00,4.624,0.7080,0.3460
1,13.484576680,5.01970,6.5350e+02,3.39,929.0,176.29,80.80,6198.00,4.237,1.3240,0.0110
1,12.062229620,2.05840,3.0020e+02,1.62,750.0,74.80,32.40,5547.00,4.451,0.9330,0.3920
1,21.853629050,3.43900,3.5560e+02,1.75,618.0,34.57,23.00,5830.00,4.540,0.8760,0.6760
0,19.978670000,10.16800,9.4430e+02,6.85,1351.0,788.02,86.20,9651.00,4.229,1.8950,0.9230
1,41.805954400,6.05700,4.3440e+02,2.02,533.0,19.02,28.30,5907.00,4.445,0.9730,0.0290
0,7.814839231,3.01220,2.0103e+03,5.33,903.0,156.74,100.00,5887.00,4.499,0.9310,0.9450
1,5.326672990,3.40450,6.1140e+02,2.26,1007.0,242.97,34.10,5831.00,4.517,0.9210,0.0430
0,2.783883492,2.45460,9.0390e+02,67.17,1934.0,3304.55,86.10,6028.00,3.835,2.1470,1.2550
0,5.686287390,17.57300,5.5597e+03,4.50,1059.0,297.81,414.40,6052.00,4.442,0.9560,0.8548
0,2.897432135,3.17930,1.2237e+03,14.35,2170.0,5240.00,73.90,5970.00,3.619,2.9940,0.9670
1,8.704205250,2.93850,1.0749e+03,2.86,748.0,74.13,74.00,5074.00,4.474,0.8630,0.5000
1,0.974868896,1.61910,1.9760e+02,1.16,1612.0,1605.87,82.60,5487.00,4.563,0.8320,0.1200
0,0.643794198,1.56620,4.5670e+02,19.51,2011.0,3852.91,53.70,5958.00,4.561,0.8300,1.1930
1,16.088323180,5.73100,5.9780e+02,3.42,875.0,138.64,31.30,6157.00,4.224,1.3300,0.6480
1,35.675745300,7.38100,4.7120e+02,3.02,671.0,47.96,18.50,6157.00,4.224,1.3300,0.6100
1,47.332929900,2.70800,9.3150e+02,2.18,386.0,5.25,14.00,4987.00,4.602,0.7160,0.4300
1,2.466970390,1.63450,3.0870e+02,1.56,1139.0,398.42,29.50,5074.00,4.474,0.8630,0.5740
1,107.721409200,8.04200,1.3962e+03,4.75,421.0,7.39,30.50,5529.00,4.190,1.2940,0.0030
0,100.303922800,8.70200,5.4500e+03,29.55,313.0,2.26,63.20,5055.00,4.566,0.7720,1.2560
1,14.128476770,3.68500,6.2870e+02,2.73,739.0,70.50,23.00,5779.00,4.477,0.9740,0.8110
1,8.398429770,6.34400,3.4010e+02,2.00,984.0,221.66,28.00,6309.00,4.441,1.0440,0.5730
1,140.107650000,18.50300,2.6680e+02,3.42,511.0,16.17,29.00,6207.00,3.963,2.0970,0.0190
1,35.617602330,8.45590,4.6349e+03,5.17,456.0,10.19,155.00,5123.00,4.523,0.7790,0.0090
0,1.092068330,1.85960,2.1920e+02,1.29,1611.0,1588.89,45.50,5639.00,4.551,0.8590,0.4690
1,3.770551475,3.80770,1.2440e+04,12.05,1302.0,679.75,100.80,6322.00,4.426,1.0750,0.0530
0,3.629442796,5.63000,4.2660e+02,3.28,1434.0,1001.35,76.40,6506.00,4.336,1.2170,0.9700
1,3.755742670,2.29110,4.1740e+02,1.58,977.0,215.46,27.90,5311.00,4.588,0.7880,0.1270
1,24.669192732,7.03515,7.3823e+03,77.76,1485.0,1150.61,603.00,5313.00,2.936,9.3270,0.0730
1,24.664614160,2.85790,2.3988e+03,5.34,567.0,24.53,56.70,5188.00,4.400,0.9730,0.8000
1,7.641567589,3.41018,2.2697e+03,4.91,899.0,154.25,437.50,5356.00,4.338,1.0550,0.0270
0,569.934135000,4.19040,1.8904e+04,38.98,296.0,1.81,66.70,5367.00,3.783,2.0570,0.9190
1,10.916108342,3.64960,1.4790e+03,3.93,758.0,78.19,302.20,5575.00,4.521,0.9320,0.7699
1,6.877446033,1.36920,1.6323e+03,2.05,484.0,12.95,39.60,3789.00,4.781,0.4600,0.7900
1,42.896450240,5.68970,5.5530e+02,2.00,448.0,9.54,66.80,5192.00,4.489,0.8730,0.0070
0,2.441998030,2.75900,2.5170e+02,1.44,1282.0,638.05,27.20,5970.00,4.564,0.7960,0.8560
1,3.601465336,2.27530,7.7770e+02,2.31,996.0,232.65,50.70,5052.00,4.480,0.8550,0.0210
0,1.023471798,2.34990,8.6140e+02,3.78,1727.0,2103.09,63.00,5741.00,4.491,0.8930,0.9740
1,9.428898840,4.44810,5.6540e+02,4.39,1163.0,432.90,50.40,5897.00,3.980,1.8600,0.0110
1,11.476090150,5.04600,1.8230e+02,2.07,984.0,221.34,27.70,6071.00,4.202,1.4100,0.7550
1,0.677374687,1.83610,7.6700e+01,0.90,2099.0,4572.56,38.70,5718.00,4.395,1.0370,0.1320
1,7.410843140,3.24500,1.2410e+02,0.94,850.0,123.40,25.60,5528.00,4.499,0.8530,0.0640
1,24.587163550,3.98400,9.0750e+02,2.37,530.0,18.72,35.60,5474.00,4.605,0.7490,0.6480
1,13.197206940,3.48720,2.1414e+03,4.18,642.0,40.03,116.20,4954.00,4.462,0.8850,0.5680
1,4.088972990,3.58500,1.5790e+02,2.36,1537.0,1317.96,19.00,5897.00,3.980,1.8600,0.3740
0,2.866680334,1.12640,7.1240e+02,2.93,1045.0,282.64,43.00,5238.00,4.598,0.7640,0.9680
1,7.336851010,3.54800,3.2580e+02,1.52,875.0,138.46,21.60,5795.00,4.554,0.8480,0.0180
1,14.557308970,7.76430,9.5690e+02,4.32,879.0,141.00,200.00,5774.00,4.159,1.4120,0.0360
0,4.722254104,3.45100,8.2670e+04,14.45,557.0,22.67,314.10,3801.00,4.776,0.4880,0.5060
1,5.901278150,2.19790,1.5252e+03,1.94,514.0,16.54,56.60,3731.00,4.750,0.4980,0.0300
1,22.780782410,3.30020,1.9251e+03,2.17,328.0,2.73,46.40,3731.00,4.750,0.4980,0.0080
1,0.742957911,0.66880,8.4330e+02,1.47,1026.0,262.51,45.30,3731.00,4.750,0.4980,0.1620
0,54.356350670,6.43450,1.0510e+04,38.81,566.0,24.18,628.10,6161.00,4.281,1.2550,1.1420
1,5.747711909,1.89230,8.2010e+02,1.86,641.0,40.07,51.70,4252.00,4.640,0.6320,0.5750
1,86.678560520,10.12890,8.2441e+03,9.83,434.0,8.41,318.30,5822.00,4.351,1.0810,0.2910
0,15.238453900,19.29200,7.0190e+03,9.84,829.0,111.67,56.00,6384.00,4.419,1.0860,0.7400
1,6.057299660,3.74190,3.8520e+02,1.94,947.0,189.98,35.10,5334.00,4.372,1.0040,0.2190
1,1.763587535,3.16877,4.5906e+03,21.42,3559.0,37958.27,4061.90,9107.00,3.867,3.0310,0.5120
1,8.115287270,3.21100,8.3490e+02,3.10,879.0,140.92,59.10,5926.00,4.532,0.8870,0.9160
0,37.478349200,5.31700,1.4679e+03,10.05,262.0,1.12,18.30,3687.00,4.813,0.4400,1.1610
1,14.559855600,5.62400,2.9060e+02,1.64,758.0,78.26,15.60,5959.00,4.460,0.9660,0.0260
1,6.100276210,4.74760,7.6660e+02,2.59,990.0,227.15,43.20,5957.00,4.506,0.9370,0.0150
1,10.937255720,3.08220,4.2160e+02,2.41,777.0,86.28,24.60,5334.00,4.372,1.0040,0.8660
1,158.685002200,11.53720,8.9830e+02,3.08,350.0,3.53,97.40,5751.00,4.340,1.0340,0.0340
1,7.039020160,3.86330,5.2980e+02,2.45,1051.0,288.92,54.30,6321.00,4.434,1.0580,0.0150
0,3.140511530,8.28060,1.4444e+03,31.01,1306.0,689.48,139.50,6108.00,4.443,0.9740,1.2510
0,19.563092517,6.95470,1.2992e+04,23.76,965.0,205.39,2477.00,6208.00,3.959,1.8310,0.8420
1,161.527834700,3.67340,4.6536e+03,8.19,366.0,4.25,54.70,5778.00,4.285,1.2130,0.0000
0,0.730939050,2.84370,4.5110e+02,1.45,1488.0,1159.62,52.40,4768.00,4.588,0.7110,0.0180
1,12.333438530,6.22100,5.3640e+02,4.12,915.0,165.30,31.70,5896.00,4.197,1.2400,0.9790
1,4.292636990,2.70000,6.1400e+01,0.68,991.0,227.69,11.40,5357.00,4.498,0.8630,0.4540
1,0.453287416,0.44450,1.4615e+03,0.76,729.0,66.14,150.40,3292.00,5.215,0.1480,0.8100
0,3.273699006,3.07626,6.8628e+03,22.36,3060.0,20728.79,1293.10,10816.00,4.086,2.4930,0.7330
0,19.563137230,6.85750,5.5360e+03,9.73,706.0,58.71,157.80,5766.00,4.352,1.0770,0.9080
1,14.589324290,2.41840,8.3130e+02,2.32,594.0,29.53,29.30,5142.00,4.602,0.7550,0.6940
1,74.927686530,4.74000,4.1192e+03,6.39,409.0,6.62,161.50,5618.00,4.460,0.8970,0.7960
1,0.927859786,1.42790,5.1530e+02,1.79,1361.0,813.30,99.80,4815.00,4.631,0.6990,0.7950
1,2.139556300,2.06780,2.6610e+02,1.76,1425.0,974.30,48.90,5534.00,4.338,1.0800,0.3680
1,21.405442200,11.72100,4.0930e+02,11.64,1087.0,330.00,60.90,4838.00,3.299,4.3610,0.9430
1,2.633852528,2.02060,2.5980e+02,1.38,1131.0,387.43,23.30,5114.00,4.463,0.8780,0.2040
